ContentID,Link,Availability,Title,ImageLink,Author,PublicationDate,Abstract,Description,Favourite tag
ka02f0000004awLAAQ,https://ccdev-carrotcube.cs34.force.com/AiQLife/s/articles-detail?selArticleId=ka02f0000004awLAAQ,Y,Building Better Mental Health,https://image.s11.sfmc-content.com/lib/fe3d157175640478751778/m/1/Panic-Disorder.jpg,,3/10/2020,"Looking to boost your mood, handle your emotions better, or build resilience? These 6 life-changing strategies can show you how.",,mental
ka02f0000004aw1AAA,https://ccdev-carrotcube.cs34.force.com/AiQLife/s/articles-detail?selArticleId=ka02f0000004aw1AAA,Y,Heart Disease,https://image.s11.sfmc-content.com/lib/fe3d157175640478751778/m/1/Generalized.jpg,,3/2/2020,High blood pressure is a major risk factor for heart disease. It is important to get your blood pressure checked regularly.,,heart
ka02f0000004avwAAA,https://ccdev-carrotcube.cs34.force.com/AiQLife/s/articles-detail?selArticleId=ka02f0000004avwAAA,Y,Its time to recognize mental health as essential to physical health,https://image.s11.sfmc-content.com/lib/fe3d157175640478751778/m/1/ischemic.jpg,,3/3/2020,"The human brain is a wonder. Through folds of tissue and pulses of electricity, it lets us perceive, attempt to understand.",,mental
ka02f0000004aqIAAQ,https://ccdev-carrotcube.cs34.force.com/AiQLife/s/articles-detail?selArticleId=ka02f0000004aqIAAQ,Y,Atherosclerosis,https://image.s11.sfmc-content.com/lib/fe3d157175640478751778/m/1/atherosclerosis.jpg,,3/4/2020,Atherosclerosis is a hardening and narrowing of your arteries. It can put blood flow at risk as your arteries become blocked.,,heart
ka02f0000004b2xAAA,https://ccdev-carrotcube.cs34.force.com/AiQLife/s/articles-detail?selArticleId=ka02f0000004b2xAAA,Y,Ten Things You Need To Know To Overcome OCD,https://image.s11.sfmc-content.com/lib/fe3d157175640478751778/m/1/Obsessive.jpg,,3/5/2020,"You may not like some of the things on this list, as they may not be what you wish to hear.",,mental
ka02f0000004b2nAAA,https://ccdev-carrotcube.cs34.force.com/AiQLife/s/articles-detail?selArticleId=ka02f0000004b2nAAA,Y,High Blood Pressure (Hypertensive) Symptoms and Causes,https://image.s11.sfmc-content.com/lib/fe3d157175640478751778/m/1/Hypertensive.jpg,,3/6/2020,"High blood pressure is a common condition in which the long-term force of the blood against your artery walls is high enough that it may eventually cause health problems, such as heart disease.",,heart
ka02f0000004b2iAAA,https://ccdev-carrotcube.cs34.force.com/AiQLife/s/articles-detail?selArticleId=ka02f0000004b2iAAA,Y,What to know about cerebrovascular disease,https://image.s11.sfmc-content.com/lib/fe3d157175640478751778/m/1/cerebrovascular.jpg,,3/7/2020,"Cerebrovascular disease refers to a group of conditions, diseases, and disorders that affect the blood vessels and blood supply to the brain.",,mental
ka02f0000004b2JAAQ,https://ccdev-carrotcube.cs34.force.com/AiQLife/s/articles-detail?selArticleId=ka02f0000004b2JAAQ,Y,What are the symptoms of rheumatic heart disease?,https://image.s11.sfmc-content.com/lib/fe3d157175640478751778/m/1/rheumatic.jpg,,3/8/2020,A recent history of strep infection or rheumatic fever is key to the diagnosis of rheumatic heart disease. Symptoms of rheumatic fever vary and typically begin 1 to 6 weeks after a bout of strep throat.,,heart
ka02f0000004b2YAAQ,https://ccdev-carrotcube.cs34.force.com/AiQLife/s/articles-detail?selArticleId=ka02f0000004b2YAAQ,Y,13 Coronavirus myths busted by science,https://image.s11.sfmc-content.com/lib/fe3d157175640478751778/m/1/covid19.jpg,,3/9/2020,"As the novel coronavirus continues to infect people around the world, news articles and social media posts about the outbreak continue to spread online.",,mental
ka02f0000004b8MAAQ,https://ccdev-carrotcube.cs34.force.com/AiQLife/s/articles-detail?selArticleId=ka02f0000004b8MAAQ,Y,What Can I Do to Reduce My Risk of Skin Cancer?,https://image.s11.sfmc-content.com/lib/fe3d157175640478751778/m/1/maxresdefault.jpg,,3/9/2020,"Protection from ultraviolet (UV) radiation is important all year, not just during the summer or at the beach.",,Skin Cancer
ka02f0000004b8HAAQ,https://ccdev-carrotcube.cs34.force.com/AiQLife/s/articles-detail?selArticleId=ka02f0000004b8HAAQ,Y,What Are the Symptoms of Skin Cancer?,https://image.s11.sfmc-content.com/lib/fe3d157175640478751778/m/1/skin-moles.jpg,,3/9/2020,A change in your skin is the most common sign of skin cancer. T,,Skin Cancer
ka02f0000004b8CAAQ,https://ccdev-carrotcube.cs34.force.com/AiQLife/s/articles-detail?selArticleId=ka02f0000004b8CAAQ,Y,What Are the Risk Factors for Skin Cancer?,https://image.s11.sfmc-content.com/lib/fe3d157175640478751778/m/1/mom-beach.jpg,,3/9/2020,"Anyone can get skin cancer, but people with certain characteristics are at greater risk",,Skin Cancer
ka02f0000004b87AAA,https://ccdev-carrotcube.cs34.force.com/AiQLife/s/articles-detail?selArticleId=ka02f0000004b87AAA,Y,What Is Skin Cancer?,https://image.s11.sfmc-content.com/lib/fe3d157175640478751778/m/1/skin_basic_large.jpg,,3/9/2020,Skin cancer is the most common form of cancer in the United States. The two most common types of skin cancer-basal cell and squamous cell carcinomas-are highly curable.,,Skin Cancer
ka02f0000004b7nAAA,https://ccdev-carrotcube.cs34.force.com/AiQLife/s/articles-detail?selArticleId=ka02f0000004b7nAAA,Y,What Are the Symptoms of Colorectal Cancer?,https://image.s11.sfmc-content.com/lib/fe3d157175640478751778/m/1/stomachache-350.jpg,,3/9/2020,"Colorectal polyps and colorectal cancer don’t always cause symptoms, especially at first. ",,Colorectal Cancer
ka02f0000004b7iAAA,https://ccdev-carrotcube.cs34.force.com/AiQLife/s/articles-detail?selArticleId=ka02f0000004b7iAAA,Y,What Can I Do to Reduce My Risk of Colorectal Cancer?,https://image.s11.sfmc-content.com/lib/fe3d157175640478751778/m/1/colat_cancer.jpg,,3/9/2020,"Overall, the most effective way to reduce your risk of colorectal cancer is to get screened for colorectal cancer routinely",,Colorectal Cancer
ka02f0000004b7dAAA,https://ccdev-carrotcube.cs34.force.com/AiQLife/s/articles-detail?selArticleId=ka02f0000004b7dAAA,Y,What Are the Risk Factors for Colorectal Cancer?,https://image.s11.sfmc-content.com/lib/fe3d157175640478751778/m/1/women-walking-350.jpg,,3/9/2020,Your risk of getting colorectal cancer increases as you get older. About 90% of cases occur in people who are 50 years old,,Colorectal Cancer
ka02f0000004b79AAA,https://ccdev-carrotcube.cs34.force.com/AiQLife/s/articles-detail?selArticleId=ka02f0000004b79AAA,Y,What Is Colorectal Cancer?,https://image.s11.sfmc-content.com/lib/fe3d157175640478751778/m/1/Colorectal_Cancer_2.jpg,,3/9/2020,"Colorectal cancer is cancer that occurs in the colon or rectum. Sometimes it is called colon cancer, for short.",,Colorectal Cancer
